frequency,real,img,mag,phase
3.616,0.057378036,0.090411599,0.107081727,1.005301054
3.62,0.037199863,0.114475327,0.120367895,1.256600916
3.624,0.007915159,0.125802878,0.126051631,1.507961995
3.628,-0.023198803,0.121614142,0.123807044,1.759289223
3.632,-0.048457176,0.102978185,0.11380951,2.010613895
3.636,-0.061649251,0.074521239,0.096716313,2.261946075
3.64,-0.059567652,0.04327794,0.073629378,2.513279536
3.644,-0.042788285,0.016938692,0.04601909,2.764649798
3.648,-0.015511997,0.001959173,0.015635229,3.015957347
3.652,0.015479113,0.001952062,0.015601714,0.125447213
3.656,0.04252699,0.016833869,0.045737556,0.37691474
3.66,0.058957112,0.042814547,0.072863067,0.628093103
3.664,0.060785685,0.073498131,0.095377538,0.87978535
3.668,0.047576068,0.101112873,0.111746568,1.131006051
3.672,0.022686044,0.118923175,0.121067659,1.382298858
3.676,-0.007707882,0.122518765,0.122760984,1.633625371
3.68,-0.036075695,0.111035096,0.116748655,1.884940975
3.684,-0.05542408,0.087339277,0.103440698,2.13625761
3.688,-0.06101286,0.057296945,0.083698919,2.387592511
3.692,-0.051514257,0.028322451,0.058786732,2.638904314
3.696,-0.029334946,0.007531604,0.030286368,2.890275775
3.7,-5.78E-07,-3.39E-07,6.70E-07,-2.610774043
3.704,0.029218922,0.007503064,0.030166892,0.251356961
3.708,0.051109704,0.028100262,0.05832518,0.502691844
3.712,0.060294521,0.056619379,0.082711446,0.753973912
3.716,0.054558691,0.085963735,0.10181559,1.005272781
3.72,0.03537189,0.108862356,0.114464768,1.256634018
3.724,0.00752926,0.119648689,0.119885356,1.507951129
3.728,-0.022066277,0.115679238,0.117765049,1.759285896
3.732,-0.046097663,0.097964595,0.108268447,2.010611141
3.736,-0.058654795,0.070903316,0.092019918,2.261933902
3.74,-0.056680391,0.041182353,0.07006178,2.513255201
3.744,-0.040719255,0.016123906,0.043795411,2.764558821
3.748,-0.014765555,0.0018651,0.014882883,3.015943814
3.752,0.014736117,0.001861557,0.014853234,0.125660506
3.756,0.040486227,0.016030101,0.043544216,0.377001138
3.76,0.056142859,0.040794028,0.069398655,0.628363449
3.764,0.057874077,0.0699581,0.090793968,0.879648459
3.768,0.045309762,0.096290703,0.106418391,1.130983584
3.772,0.021607146,0.113269316,0.11531178,1.382301892
3.776,-0.007341384,0.116706945,0.11693762,1.633617981
3.78,-0.034369959,0.105781375,0.111224968,1.88495137
3.784,-0.052810244,0.083213107,0.098556293,2.136296718
3.788,-0.058140867,0.054598501,0.079758113,2.387605003
3.792,-0.049093825,0.026990707,0.056024119,2.638919873
3.796,-0.027960338,0.007178693,0.028867181,2.890275377
3.8,-4.31E-07,-6.19E-08,4.35E-07,-2.998879247
3.804,0.027854931,0.007151029,0.028758205,0.251297046
3.808,0.048730313,0.026789773,0.05560877,0.50265572
3.812,0.057497252,0.053991827,0.078873642,0.753966655
3.816,0.052029752,0.081985747,0.097101791,1.00530952
3.82,0.03373756,0.103831783,0.109175374,1.256632106
3.824,0.007182586,0.114134992,0.114360771,1.507948582
3.828,-0.021051682,0.110358625,0.112348562,1.759288814
3.832,-0.043982369,0.093468698,0.103299789,2.010613497
3.836,-0.055969054,0.067655304,0.087805325,2.261944252
3.84,-0.054091427,0.039300004,0.066860846,2.513270719
3.844,-0.038863165,0.015388149,0.041798812,2.764576322
3.848,-0.014093571,0.001779678,0.014205492,3.015981606
3.852,0.014069705,0.001778872,0.014181713,0.125765457
3.856,0.038652205,0.01530432,0.041571807,0.377009675
3.86,0.053604414,0.038945532,0.066258491,0.628314201
3.864,0.055266395,0.066804169,0.086701623,0.879635462
3.868,0.043273547,0.091959749,0.101632649,1.130968251
3.872,0.020638281,0.108185694,0.110136656,1.382294023
3.876,-0.007009036,0.111482965,0.11170308,1.633584603
3.88,-0.032833893,0.101054316,0.106254596,1.884949819
3.884,-0.050452571,0.079501433,0.09415912,2.136277872
3.888,-0.055554602,0.052169272,0.076209886,2.387610145
3.892,-0.046916986,0.025792763,0.053539427,2.638938946
3.896,-0.026722534,0.006860763,0.027589199,2.890279895
3.9,-3.37E-07,4.70E-07,5.78E-07,2.192127143
3.904,0.026627861,0.006835993,0.02749134,0.251296425
3.908,0.04658701,0.02561182,0.053163097,0.502661326
3.912,0.0549713,0.051621288,0.075409557,0.753980309
3.916,0.049752224,0.078394951,0.092849621,1.005298058
3.92,0.032268815,0.099291815,0.10440374,1.256573764
3.924,0.006867185,0.109155147,0.109370948,1.50796698
3.928,-0.020134998,0.105555739,0.107458979,1.759284243
3.932,-0.042072323,0.089410088,0.098814191,2.010611326
3.936,-0.053544635,0.064725321,0.084002352,2.2619393
3.94,-0.051753062,0.037601541,0.063970738,2.513264757
3.944,-0.03718705,0.014724278,0.039996013,2.764581
3.948,-0.013486879,0.001703077,0.013593983,3.015980904
3.952,0.01346282,0.001700302,0.013569766,0.125630966
3.956,0.037018452,0.014666155,0.039817859,0.377213244
3.96,0.05131125,0.037280062,0.063424344,0.628321803
3.964,0.052907037,0.063952912,0.08300078,0.87964049
3.968,0.041459314,0.088071726,0.097342199,1.130825504
3.972,0.019762239,0.103588099,0.105456344,1.382284443
3.976,-0.006722133,0.10676121,0.106972628,1.633677505
3.98,-0.031444971,0.096778428,0.101758785,1.884953289
3.984,-0.04832464,0.076147917,0.09018745,2.136280213
3.988,-0.05321338,0.049971676,0.072998851,2.387600567
3.992,-0.044945319,0.024711377,0.05129068,2.638895471
3.996,-0.025599899,0.006576427,0.026431122,2.890137358
