frequency,real,img,mag,phase
0,1.11E-07,0,1.11E-07,0
0.004,-1.62E-05,-3.15E-05,3.54E-05,-2.04613647
0.008,-6.29E-05,-2.79E-05,6.89E-05,-2.724083738
0.012,-1.42E-04,-3.33E-05,1.46E-04,-2.911607034
0.016,-2.49E-04,-6.10E-05,2.56E-04,-2.901189664
0.02,-3.84E-04,-1.06E-04,3.98E-04,-2.872385705
0.024,-5.42E-04,-1.75E-04,5.69E-04,-2.829100622
0.028,-7.21E-04,-2.71E-04,7.70E-04,-2.782115468
0.032,-9.17E-04,-3.95E-04,9.99E-04,-2.73514325
0.036,-0.001126494,-5.52E-04,0.001254399,-2.686078635
0.04,-0.001344441,-7.43E-04,0.00153599,-2.636837447
0.044,-0.001565371,-9.70E-04,0.001841459,-2.586915988
0.048,-0.001785627,-0.001233061,0.00217,-2.537238643
0.052,-0.001998075,-0.001533483,0.002518705,-2.486997586
0.056,-0.002198944,-0.001870542,0.002886915,-2.436718804
0.06,-0.002384386,-0.002241934,0.003272853,-2.386976234
0.064,-0.00254637,-0.002647537,0.003673344,-2.336718944
0.068,-0.002684489,-0.003084197,0.004088857,-2.2870158
0.072,-0.002784806,-0.003548991,0.004511151,-2.236122807
0.076,-0.002857863,-0.004038057,0.004947048,-2.186692916
0.08,-0.00288472,-0.004547616,0.00538539,-2.136081553
0.084,-0.002869163,-0.005072457,0.005827686,-2.08556464
0.088,-0.002812926,-0.00560759,0.006273565,-2.035745741
0.092,-0.002707636,-0.006147363,0.006717244,-1.98568428
0.096,-0.002549394,-0.006685961,0.007155521,-1.935083659
0.1,-0.002342848,-0.007217578,0.007588305,-1.884669149
0.104,-0.002088741,-0.007735042,0.008012098,-1.834541906
0.108,-0.001787304,-0.008233679,0.008425434,-1.784552379
0.112,-0.001436363,-0.008704834,0.008822543,-1.734330224
0.116,-0.001039377,-0.009145617,0.009204489,-1.683958405
0.12,-6.00E-04,-0.009547122,0.009565951,-1.633548289
0.124,-1.23E-04,-0.009905672,0.009906438,-1.583228492
0.128,3.86E-04,-0.010214061,0.010221366,-1.532986362
0.132,9.24E-04,-0.010471409,0.010512065,-1.48281759
0.136,0.001483161,-0.010668323,0.010770927,-1.432657016
0.14,0.002059456,-0.010803041,0.010997593,-1.382419982
0.144,0.002645534,-0.010874532,0.011191706,-1.332154214
0.148,0.003234228,-0.01088133,0.011351809,-1.28188524
0.152,0.003817875,-0.01082055,0.01147434,-1.231597589
0.156,0.00438825,-0.010690339,0.011555954,-1.181281851
0.16,0.004937833,-0.010492145,0.011596004,-1.130926218
0.164,0.005457472,-0.010228109,0.011593024,-1.080650181
0.168,0.005940676,-0.009900501,0.011546063,-1.030348934
0.172,0.006378774,-0.009513718,0.011454239,-0.980157149
0.176,0.00676542,-0.009070434,0.011315639,-0.92993969
0.18,0.007092743,-0.008575437,0.011128572,-0.879748095
0.184,0.007354876,-0.008034191,0.01089231,-0.829512271
0.188,0.007544878,-0.007453445,0.010605613,-0.779302054
0.192,0.00766015,-0.00684104,0.010270235,-0.728972457
0.196,0.007695029,-0.006204931,0.009885071,-0.678604414
0.2,0.007644726,-0.005554253,0.009449421,-0.628321522
0.204,0.007506823,-0.004897583,0.008963186,-0.578072866
0.208,0.007279324,-0.004244472,0.008426393,-0.527889868
0.212,0.00696298,-0.00360478,0.007840761,-0.477712271
0.216,0.006557676,-0.002987668,0.007206197,-0.42750003
0.22,0.006065275,-0.002403025,0.006523963,-0.377220982
0.224,0.005487523,-0.001860938,0.00579448,-0.326951067
0.228,0.004828125,-0.001370876,0.005018974,-0.276654367
0.232,0.004091472,-9.42E-04,0.004198611,-0.226393833
0.236,0.003283142,-5.84E-04,0.003334681,-0.176041792
0.24,0.002410294,-3.05E-04,0.002429461,-0.125699106
0.244,0.001480862,-1.12E-04,0.001485124,-0.075782999
0.248,5.04E-04,-1.24E-05,5.04E-04,-0.024654063
0.252,-5.12E-04,-1.31E-05,5.12E-04,-3.115999412
0.256,-0.001555352,-1.18E-04,0.001559803,-3.066027937
0.26,-0.00261622,-3.31E-04,0.00263703,-3.015877772
0.264,-0.003683309,-6.54E-04,0.003741004,-2.965740486
0.268,-0.004745118,-0.001092254,0.004869206,-2.915348762
0.272,-0.005789702,-0.001643322,0.006018402,-2.86503104
0.276,-0.006804595,-0.002307221,0.007185108,-2.814689719
0.28,-0.007778316,-0.003081195,0.008366359,-2.764430151
0.284,-0.008698284,-0.003961758,0.009558016,-2.714203912
0.288,-0.009552731,-0.004944985,0.010756744,-2.663923839
0.292,-0.010330793,-0.006023643,0.01195866,-2.613709838
0.296,-0.01102124,-0.007190485,0.013159438,-2.563517598
0.3,-0.011614633,-0.008438304,0.014356346,-2.513286587
0.304,-0.012101408,-0.009756863,0.015544788,-2.463047202
0.308,-0.012473388,-0.011135762,0.016720963,-2.412791094
0.312,-0.012723268,-0.012563735,0.017880967,-2.362503297
0.316,-0.012845342,-0.014027768,0.019020544,-2.312222538
0.32,-0.012835582,-0.015515406,0.020136534,-2.261951395
0.324,-0.012690209,-0.01701239,0.02122411,-2.211693454
0.328,-0.012406965,-0.018505034,0.022279342,-2.161423466
0.332,-0.011985736,-0.019978584,0.023298104,-2.111163764
0.336,-0.011427335,-0.021418668,0.024276395,-2.06090069
0.34,-0.01073436,-0.02281085,0.025210342,-2.010633266
0.344,-0.00991091,-0.024140624,0.026095897,-1.960363485
0.348,-0.008962881,-0.025394245,0.026929555,-1.910096175
0.352,-0.007897352,-0.026558344,0.027707649,-1.859828063
0.356,-0.006722903,-0.02762001,0.028426438,-1.809560227
0.36,-0.005449719,-0.028567054,0.029082228,-1.759300745
