frequency,real,img,mag,phase,,
0.368,6.63E-04,7.52E-03,7.55E-03,3.71E-01,,
0.372,2.89E-04,7.66E-03,7.66E-03,3.83E-01,,
0.376,-9.71E-05,7.75E-03,7.75E-03,3.96E-01,,
0.38,-4.91E-04,7.81E-03,7.83E-03,4.08E-01,,
0.384,-8.89E-04,7.83E-03,7.88E-03,4.21E-01,,
0.388,-1.29E-03,7.81E-03,7.91E-03,4.34E-01,,
0.392,-1.68E-03,7.75E-03,7.93E-03,4.46E-01,,
0.396,-2.06E-03,7.64E-03,7.92E-03,4.59E-01,,
0.4,-2.44E-03,7.50E-03,7.88E-03,4.71E-01,,
0.404,-2.79E-03,7.32E-03,7.83E-03,4.84E-01,,
0.408,-3.12E-03,7.09E-03,7.75E-03,4.96E-01,,
0.412,-3.43E-03,6.84E-03,7.65E-03,5.09E-01,,
0.416,-3.71E-03,6.55E-03,7.53E-03,5.22E-01,,
0.42,-3.95E-03,6.23E-03,7.38E-03,5.34E-01,,
0.424,-4.16E-03,5.89E-03,7.21E-03,5.47E-01,,
0.428,-4.34E-03,5.52E-03,7.02E-03,5.59E-01,,
0.432,-4.46E-03,5.13E-03,6.80E-03,5.72E-01,,
0.436,-4.55E-03,4.72E-03,6.56E-03,5.84E-01,,
0.44,-4.59E-03,4.31E-03,6.30E-03,5.97E-01,,
0.444,-4.58E-03,3.89E-03,6.01E-03,6.09E-01,,
0.448,-4.53E-03,3.47E-03,5.70E-03,6.22E-01,,
0.452,-4.43E-03,3.05E-03,5.38E-03,6.35E-01,,
0.456,-4.28E-03,2.64E-03,5.03E-03,6.47E-01,,
0.46,-4.08E-03,2.24E-03,4.66E-03,6.60E-01,,
0.464,-3.84E-03,1.86E-03,4.26E-03,6.72E-01,,
0.468,-3.55E-03,1.51E-03,3.85E-03,6.85E-01,,
0.472,-3.22E-03,1.18E-03,3.43E-03,6.97E-01,,
0.476,-2.85E-03,8.86E-04,2.98E-03,7.10E-01,,
0.48,-2.44E-03,6.27E-04,2.52E-03,7.23E-01,,
0.484,-2.00E-03,4.08E-04,2.04E-03,7.35E-01,,
0.488,-1.53E-03,2.33E-04,1.55E-03,7.48E-01,,
0.492,-1.04E-03,1.05E-04,1.05E-03,7.60E-01,,
0.496,-5.28E-04,2.65E-05,5.28E-04,7.73E-01,,
0.5,-2.77E-08,-3.91E-09,2.80E-08,-7.50E-01,,
0.504,5.37E-04,2.71E-05,5.38E-04,1.26E-02,,
0.508,1.08E-03,1.09E-04,1.08E-03,2.51E-02,,
0.512,1.62E-03,2.46E-04,1.64E-03,3.77E-02,,
0.516,2.15E-03,4.39E-04,2.20E-03,5.03E-02,,
0.52,2.67E-03,6.86E-04,2.76E-03,6.28E-02,,
0.524,3.17E-03,9.88E-04,3.32E-03,7.54E-02,,
0.528,3.65E-03,1.34E-03,3.89E-03,8.80E-02,,
0.532,4.10E-03,1.74E-03,4.46E-03,1.01E-01,,
0.536,4.52E-03,2.20E-03,5.02E-03,1.13E-01,,
0.54,4.89E-03,2.69E-03,5.58E-03,1.26E-01,,
0.544,5.22E-03,3.22E-03,6.14E-03,1.38E-01,,
0.548,5.51E-03,3.79E-03,6.69E-03,1.51E-01,,
0.552,5.74E-03,4.39E-03,7.23E-03,1.63E-01,,
0.556,5.91E-03,5.02E-03,7.76E-03,1.76E-01,,
