frequency,real,img,mag,phase,,
1.612,1.47E-02,8.91E-02,9.03E-02,3.52E-01,,
1.616,1.04E-02,9.14E-02,9.20E-02,3.64E-01,,
1.62,5.87E-03,9.33E-02,9.35E-02,3.77E-01,,
1.624,1.19E-03,9.48E-02,9.48E-02,3.90E-01,,
1.628,-3.62E-03,9.59E-02,9.59E-02,4.02E-01,,
1.632,-8.50E-03,9.64E-02,9.68E-02,4.15E-01,,
1.636,-1.34E-02,9.65E-02,9.74E-02,4.27E-01,,
1.64,-1.83E-02,9.61E-02,9.78E-02,4.40E-01,,
1.644,-2.32E-02,9.52E-02,9.80E-02,4.52E-01,,
1.648,-2.79E-02,9.38E-02,9.79E-02,4.65E-01,,
1.652,-3.25E-02,9.20E-02,9.75E-02,4.78E-01,,
1.656,-3.68E-02,8.97E-02,9.69E-02,4.90E-01,,
1.66,-4.09E-02,8.69E-02,9.61E-02,5.03E-01,,
1.664,-4.47E-02,8.37E-02,9.49E-02,5.15E-01,,
1.668,-4.81E-02,8.02E-02,9.35E-02,5.28E-01,,
1.672,-5.11E-02,7.62E-02,9.18E-02,5.40E-01,,
1.676,-5.37E-02,7.19E-02,8.98E-02,5.53E-01,,
1.68,-5.58E-02,6.74E-02,8.75E-02,5.65E-01,,
1.684,-5.73E-02,6.26E-02,8.49E-02,5.78E-01,,
1.688,-5.84E-02,5.76E-02,8.20E-02,5.91E-01,,
1.692,-5.88E-02,5.25E-02,7.89E-02,6.03E-01,,
1.696,-5.87E-02,4.73E-02,7.54E-02,6.16E-01,,
1.7,-5.80E-02,4.21E-02,7.16E-02,6.28E-01,,
1.704,-5.66E-02,3.69E-02,6.76E-02,6.41E-01,,
1.708,-5.46E-02,3.18E-02,6.32E-02,6.53E-01,,
1.712,-5.20E-02,2.69E-02,5.86E-02,6.66E-01,,
1.716,-4.88E-02,2.22E-02,5.36E-02,6.79E-01,,
1.72,-4.50E-02,1.78E-02,4.84E-02,6.91E-01,,
1.724,-4.06E-02,1.37E-02,4.28E-02,7.04E-01,,
1.728,-3.56E-02,1.01E-02,3.70E-02,7.16E-01,,
1.732,-3.01E-02,6.93E-03,3.09E-02,7.29E-01,,
1.736,-2.41E-02,4.29E-03,2.45E-02,7.41E-01,,
1.74,-1.77E-02,2.24E-03,1.78E-02,7.54E-01,,
1.744,-1.09E-02,8.20E-04,1.09E-02,7.67E-01,,
1.748,-3.70E-03,9.30E-05,3.70E-03,7.79E-01,,
1.752,3.76E-03,9.46E-05,3.77E-03,6.28E-03,,
1.756,1.15E-02,8.65E-04,1.15E-02,1.88E-02,,
1.76,1.93E-02,2.44E-03,1.95E-02,3.14E-02,,
1.764,2.72E-02,4.84E-03,2.77E-02,4.40E-02,,
1.768,3.52E-02,8.09E-03,3.61E-02,5.65E-02,,
1.772,4.31E-02,1.22E-02,4.48E-02,6.91E-02,,
1.776,5.08E-02,1.72E-02,5.36E-02,8.17E-02,,
1.78,5.83E-02,2.31E-02,6.27E-02,9.42E-02,,
1.784,6.55E-02,2.98E-02,7.20E-02,1.07E-01,,
1.788,7.23E-02,3.74E-02,8.14E-02,1.19E-01,,
1.792,7.87E-02,4.59E-02,9.11E-02,1.32E-01,,
1.796,8.45E-02,5.51E-02,1.01E-01,1.45E-01,,
1.8,8.96E-02,6.51E-02,1.11E-01,1.57E-01,,
1.804,9.41E-02,7.59E-02,1.21E-01,1.70E-01,,
1.808,9.78E-02,8.73E-02,1.31E-01,1.82E-01,,
1.812,1.01E-01,9.93E-02,1.41E-01,1.95E-01,,
1.816,1.03E-01,1.12E-01,1.52E-01,2.07E-01,,
1.82,1.03E-01,1.25E-01,1.62E-01,2.20E-01,,
1.824,1.03E-01,1.39E-01,1.73E-01,2.32E-01,,
1.828,1.02E-01,1.52E-01,1.84E-01,2.45E-01,,
1.832,9.99E-02,1.67E-01,1.94E-01,2.58E-01,,
1.836,9.64E-02,1.81E-01,2.05E-01,2.70E-01,,
1.84,9.18E-02,1.95E-01,2.16E-01,2.83E-01,,
1.844,8.60E-02,2.09E-01,2.26E-01,2.95E-01,,
1.848,7.89E-02,2.24E-01,2.37E-01,3.08E-01,,
1.852,7.06E-02,2.38E-01,2.48E-01,3.20E-01,,
1.856,6.11E-02,2.51E-01,2.58E-01,3.33E-01,,
1.86,5.04E-02,2.64E-01,2.69E-01,3.46E-01,,
1.864,3.85E-02,2.77E-01,2.80E-01,3.58E-01,,
1.868,2.55E-02,2.89E-01,2.90E-01,3.71E-01,,
1.872,1.13E-02,3.00E-01,3.00E-01,3.83E-01,,
1.876,-3.90E-03,3.11E-01,3.11E-01,3.96E-01,,
1.88,-2.01E-02,3.20E-01,3.21E-01,4.08E-01,,
1.884,-3.73E-02,3.29E-01,3.31E-01,4.21E-01,,
1.888,-5.54E-02,3.36E-01,3.40E-01,4.34E-01,,
1.892,-7.42E-02,3.42E-01,3.50E-01,4.46E-01,,
1.896,-9.38E-02,3.47E-01,3.59E-01,4.59E-01,,
1.9,-1.14E-01,3.51E-01,3.69E-01,4.71E-01,,
1.904,-1.35E-01,3.53E-01,3.78E-01,4.84E-01,,
1.908,-1.56E-01,3.54E-01,3.87E-01,4.96E-01,,
1.912,-1.77E-01,3.53E-01,3.95E-01,5.09E-01,,
1.916,-1.99E-01,3.51E-01,4.03E-01,5.22E-01,,
1.92,-2.20E-01,3.47E-01,4.11E-01,5.34E-01,,
1.924,-2.42E-01,3.42E-01,4.19E-01,5.47E-01,,
1.928,-2.64E-01,3.35E-01,4.27E-01,5.59E-01,,
1.932,-2.85E-01,3.27E-01,4.34E-01,5.72E-01,,
1.936,-3.06E-01,3.17E-01,4.41E-01,5.84E-01,,
1.94,-3.26E-01,3.06E-01,4.47E-01,5.97E-01,,
1.944,-3.46E-01,2.93E-01,4.53E-01,6.09E-01,,
1.948,-3.64E-01,2.79E-01,4.59E-01,6.22E-01,,
1.952,-3.83E-01,2.64E-01,4.65E-01,6.35E-01,,
1.956,-4.00E-01,2.47E-01,4.70E-01,6.47E-01,,
1.96,-4.16E-01,2.29E-01,4.74E-01,6.60E-01,,
1.964,-4.31E-01,2.09E-01,4.79E-01,6.72E-01,,
1.968,-4.44E-01,1.89E-01,4.83E-01,6.85E-01,,
1.972,-4.57E-01,1.68E-01,4.86E-01,6.97E-01,,
1.976,-4.67E-01,1.45E-01,4.89E-01,7.10E-01,,
1.98,-4.77E-01,1.22E-01,4.92E-01,7.23E-01,,
1.984,-4.85E-01,9.88E-02,4.95E-01,7.35E-01,,
1.988,-4.91E-01,7.46E-02,4.97E-01,7.48E-01,,
1.992,-4.96E-01,5.00E-02,4.98E-01,7.60E-01,,
1.996,-4.99E-01,2.51E-02,4.99E-01,7.73E-01,,
2,-5.00E-01,8.91E-07,5.00E-01,7.85E-01,,
2.004,-5.00E-01,-2.51E-02,5.00E-01,-7.73E-01,,
2.008,-4.98E-01,-5.02E-02,5.00E-01,-7.60E-01,,
2.012,-4.94E-01,-7.51E-02,5.00E-01,-7.48E-01,,
2.016,-4.89E-01,-9.96E-02,4.99E-01,-7.35E-01,,
2.02,-4.82E-01,-1.24E-01,4.97E-01,-7.23E-01,,
2.024,-4.73E-01,-1.47E-01,4.95E-01,-7.10E-01,,
2.028,-4.63E-01,-1.70E-01,4.93E-01,-6.97E-01,,
2.032,-4.51E-01,-1.92E-01,4.90E-01,-6.85E-01,,
2.036,-4.38E-01,-2.13E-01,4.87E-01,-6.72E-01,,
2.04,-4.24E-01,-2.33E-01,4.84E-01,-6.60E-01,,
2.044,-4.09E-01,-2.52E-01,4.80E-01,-6.47E-01,,
2.048,-3.92E-01,-2.70E-01,4.76E-01,-6.35E-01,,
2.052,-3.74E-01,-2.86E-01,4.71E-01,-6.22E-01,,
2.056,-3.55E-01,-3.02E-01,4.66E-01,-6.09E-01,,
2.06,-3.36E-01,-3.15E-01,4.61E-01,-5.97E-01,,
2.064,-3.16E-01,-3.28E-01,4.55E-01,-5.84E-01,,
2.068,-2.95E-01,-3.38E-01,4.49E-01,-5.72E-01,,
2.072,-2.73E-01,-3.48E-01,4.42E-01,-5.59E-01,,
2.076,-2.51E-01,-3.55E-01,4.35E-01,-5.47E-01,,
2.08,-2.29E-01,-3.62E-01,4.28E-01,-5.34E-01,,
2.084,-2.07E-01,-3.66E-01,4.21E-01,-5.22E-01,,
2.088,-1.85E-01,-3.69E-01,4.13E-01,-5.09E-01,,
2.092,-1.63E-01,-3.70E-01,4.05E-01,-4.96E-01,,
2.096,-1.41E-01,-3.70E-01,3.96E-01,-4.84E-01,,
2.1,-1.20E-01,-3.69E-01,3.88E-01,-4.71E-01,,
2.104,-9.88E-02,-3.66E-01,3.79E-01,-4.59E-01,,
2.108,-7.83E-02,-3.61E-01,3.70E-01,-4.46E-01,,
2.112,-5.86E-02,-3.55E-01,3.60E-01,-4.34E-01,,
2.116,-3.95E-02,-3.48E-01,3.50E-01,-4.21E-01,,
2.12,-2.14E-02,-3.40E-01,3.41E-01,-4.08E-01,,
2.124,-4.15E-03,-3.30E-01,3.30E-01,-3.96E-01,,
2.128,1.21E-02,-3.20E-01,3.20E-01,-3.83E-01,,
2.132,2.72E-02,-3.09E-01,3.10E-01,-3.71E-01,,
2.136,4.12E-02,-2.96E-01,2.99E-01,-3.58E-01,,
2.14,5.41E-02,-2.83E-01,2.89E-01,-3.46E-01,,
2.144,6.57E-02,-2.70E-01,2.78E-01,-3.33E-01,,
2.148,7.61E-02,-2.56E-01,2.67E-01,-3.20E-01,,
2.152,8.52E-02,-2.41E-01,2.56E-01,-3.08E-01,,
2.156,9.30E-02,-2.26E-01,2.45E-01,-2.95E-01,,
2.16,9.95E-02,-2.11E-01,2.34E-01,-2.83E-01,,
2.164,1.05E-01,-1.96E-01,2.22E-01,-2.70E-01,,
2.168,1.09E-01,-1.81E-01,2.11E-01,-2.58E-01,,
2.172,1.11E-01,-1.66E-01,2.00E-01,-2.45E-01,,
2.176,1.13E-01,-1.51E-01,1.89E-01,-2.32E-01,,
2.18,1.13E-01,-1.37E-01,1.78E-01,-2.20E-01,,
2.184,1.12E-01,-1.23E-01,1.66E-01,-2.07E-01,,
2.188,1.11E-01,-1.09E-01,1.55E-01,-1.95E-01,,
2.192,1.08E-01,-9.61E-02,1.44E-01,-1.82E-01,,
2.196,1.04E-01,-8.37E-02,1.33E-01,-1.70E-01,,
2.2,9.91E-02,-7.20E-02,1.23E-01,-1.57E-01,,
2.204,9.36E-02,-6.11E-02,1.12E-01,-1.45E-01,,
2.208,8.73E-02,-5.09E-02,1.01E-01,-1.32E-01,,
2.212,8.05E-02,-4.16E-02,9.06E-02,-1.19E-01,,
2.216,7.30E-02,-3.33E-02,8.02E-02,-1.07E-01,,
2.22,6.51E-02,-2.58E-02,7.00E-02,-9.42E-02,,
2.224,5.69E-02,-1.93E-02,6.00E-02,-8.17E-02,,
2.228,4.83E-02,-1.37E-02,5.02E-02,-6.91E-02,,
2.232,3.95E-02,-9.10E-03,4.06E-02,-5.65E-02,,
2.236,3.07E-02,-5.45E-03,3.12E-02,-4.40E-02,,
2.24,2.18E-02,-2.75E-03,2.20E-02,-3.14E-02,,
2.244,1.30E-02,-9.78E-04,1.30E-02,-1.88E-02,,
2.248,4.27E-03,-1.07E-04,4.27E-03,-6.28E-03,,
2.252,-4.20E-03,-1.06E-04,4.20E-03,-7.79E-01,,
2.256,-1.24E-02,-9.35E-04,1.24E-02,-7.67E-01,,
2.26,-2.02E-02,-2.55E-03,2.04E-02,-7.54E-01,,
2.264,-2.76E-02,-4.90E-03,2.80E-02,-7.41E-01,,
2.268,-3.45E-02,-7.94E-03,3.54E-02,-7.29E-01,,
2.272,-4.09E-02,-1.16E-02,4.25E-02,-7.16E-01,,
2.276,-4.66E-02,-1.58E-02,4.93E-02,-7.04E-01,,
2.28,-5.18E-02,-2.05E-02,5.57E-02,-6.91E-01,,
2.284,-5.63E-02,-2.57E-02,6.19E-02,-6.79E-01,,
2.288,-6.02E-02,-3.11E-02,6.78E-02,-6.66E-01,,
2.292,-6.33E-02,-3.69E-02,7.33E-02,-6.53E-01,,
2.296,-6.58E-02,-4.29E-02,7.85E-02,-6.41E-01,,
2.3,-6.75E-02,-4.90E-02,8.34E-02,-6.28E-01,,
2.304,-6.85E-02,-5.52E-02,8.80E-02,-6.16E-01,,
2.308,-6.88E-02,-6.14E-02,9.22E-02,-6.03E-01,,
2.312,-6.84E-02,-6.75E-02,9.61E-02,-5.91E-01,,
2.316,-6.73E-02,-7.35E-02,9.97E-02,-5.78E-01,,
2.32,-6.56E-02,-7.93E-02,1.03E-01,-5.65E-01,,
2.324,-6.33E-02,-8.48E-02,1.06E-01,-5.53E-01,,
2.328,-6.04E-02,-9.00E-02,1.08E-01,-5.40E-01,,
2.332,-5.69E-02,-9.49E-02,1.11E-01,-5.28E-01,,
2.336,-5.30E-02,-9.93E-02,1.13E-01,-5.15E-01,,
2.34,-4.86E-02,-1.03E-01,1.14E-01,-5.03E-01,,
2.344,-4.39E-02,-1.07E-01,1.15E-01,-4.90E-01,,
2.348,-3.88E-02,-1.10E-01,1.16E-01,-4.78E-01,,
2.352,-3.34E-02,-1.12E-01,1.17E-01,-4.65E-01,,
2.356,-2.78E-02,-1.14E-01,1.17E-01,-4.52E-01,,
2.36,-2.20E-02,-1.15E-01,1.18E-01,-4.40E-01,,
2.364,-1.62E-02,-1.16E-01,1.17E-01,-4.27E-01,,
2.368,-1.03E-02,-1.16E-01,1.17E-01,-4.15E-01,,
2.372,-4.37E-03,-1.16E-01,1.16E-01,-4.02E-01,,
2.376,1.44E-03,-1.15E-01,1.15E-01,-3.90E-01,,
2.38,7.13E-03,-1.13E-01,1.14E-01,-3.77E-01,,
2.384,1.26E-02,-1.11E-01,1.12E-01,-3.64E-01,,
2.388,1.79E-02,-1.09E-01,1.10E-01,-3.52E-01,,
2.392,2.29E-02,-1.06E-01,1.08E-01,-3.39E-01,,
2.396,2.76E-02,-1.02E-01,1.06E-01,-3.27E-01,,
2.4,3.19E-02,-9.82E-02,1.03E-01,-3.14E-01,,
2.404,3.58E-02,-9.39E-02,1.00E-01,-3.02E-01,,
2.408,3.93E-02,-8.93E-02,9.75E-02,-2.89E-01,,
2.412,4.23E-02,-8.44E-02,9.44E-02,-2.76E-01,,
2.416,4.49E-02,-7.92E-02,9.11E-02,-2.64E-01,,
2.42,4.69E-02,-7.40E-02,8.76E-02,-2.51E-01,,
2.424,4.85E-02,-6.85E-02,8.39E-02,-2.39E-01,,
2.428,4.95E-02,-6.30E-02,8.02E-02,-2.26E-01,,
2.432,5.01E-02,-5.75E-02,7.62E-02,-2.14E-01,,
2.436,5.01E-02,-5.20E-02,7.22E-02,-2.01E-01,,
2.44,4.96E-02,-4.66E-02,6.80E-02,-1.88E-01,,
2.444,4.86E-02,-4.13E-02,6.38E-02,-1.76E-01,,
2.448,4.72E-02,-3.61E-02,5.94E-02,-1.63E-01,,
2.452,4.53E-02,-3.12E-02,5.50E-02,-1.51E-01,,
2.456,4.30E-02,-2.65E-02,5.05E-02,-1.38E-01,,
2.46,4.03E-02,-2.21E-02,4.60E-02,-1.26E-01,,
2.464,3.72E-02,-1.81E-02,4.14E-02,-1.13E-01,,
2.468,3.38E-02,-1.44E-02,3.68E-02,-1.01E-01,,
2.472,3.02E-02,-1.11E-02,3.21E-02,-8.80E-02,,
2.476,2.62E-02,-8.16E-03,2.75E-02,-7.54E-02,,
2.48,2.21E-02,-5.68E-03,2.28E-02,-6.28E-02,,
2.484,1.78E-02,-3.63E-03,1.82E-02,-5.03E-02,,
2.488,1.34E-02,-2.04E-03,1.36E-02,-3.77E-02,,
2.492,8.96E-03,-9.04E-04,9.01E-03,-2.51E-02,,
2.496,4.47E-03,-2.25E-04,4.48E-03,-1.26E-02,,
2.5,4.95E-08,-2.56E-09,4.95E-08,-1.29E-02,,
2.504,-4.40E-03,-2.21E-04,4.41E-03,-7.73E-01,,
2.508,-8.70E-03,-8.78E-04,8.75E-03,-7.60E-01,,
2.512,-1.29E-02,-1.95E-03,1.30E-02,-7.48E-01,,
2.516,-1.68E-02,-3.43E-03,1.72E-02,-7.35E-01,,
2.52,-2.06E-02,-5.28E-03,2.12E-02,-7.23E-01,,
2.524,-2.40E-02,-7.48E-03,2.52E-02,-7.10E-01,,
2.528,-2.72E-02,-9.99E-03,2.90E-02,-6.97E-01,,
2.532,-3.01E-02,-1.28E-02,3.27E-02,-6.85E-01,,
2.536,-3.26E-02,-1.59E-02,3.63E-02,-6.72E-01,,
2.54,-3.48E-02,-1.91E-02,3.97E-02,-6.60E-01,,
2.544,-3.66E-02,-2.26E-02,4.30E-02,-6.47E-01,,
2.548,-3.80E-02,-2.62E-02,4.62E-02,-6.35E-01,,
2.552,-3.90E-02,-2.99E-02,4.91E-02,-6.22E-01,,
2.556,-3.96E-02,-3.36E-02,5.20E-02,-6.09E-01,,
2.56,-3.98E-02,-3.74E-02,5.46E-02,-5.97E-01,,
2.564,-3.96E-02,-4.11E-02,5.71E-02,-5.84E-01,,
2.568,-3.90E-02,-4.48E-02,5.94E-02,-5.72E-01,,
2.572,-3.80E-02,-4.84E-02,6.15E-02,-5.59E-01,,
2.576,-3.67E-02,-5.18E-02,6.35E-02,-5.47E-01,,
2.58,-3.50E-02,-5.51E-02,6.53E-02,-5.34E-01,,
2.584,-3.29E-02,-5.82E-02,6.68E-02,-5.22E-01,,
2.588,-3.06E-02,-6.10E-02,6.82E-02,-5.09E-01,,
2.592,-2.80E-02,-6.36E-02,6.94E-02,-4.96E-01,,
2.596,-2.51E-02,-6.58E-02,7.05E-02,-4.84E-01,,
2.6,-2.20E-02,-6.78E-02,7.13E-02,-4.71E-01,,
2.604,-1.88E-02,-6.94E-02,7.19E-02,-4.59E-01,,
2.608,-1.53E-02,-7.07E-02,7.24E-02,-4.46E-01,,
2.612,-1.18E-02,-7.17E-02,7.27E-02,-4.34E-01,,
2.616,-8.21E-03,-7.23E-02,7.27E-02,-4.21E-01,,
2.62,-4.56E-03,-7.25E-02,7.26E-02,-4.08E-01,,
2.624,-9.09E-04,-7.24E-02,7.24E-02,-3.96E-01,,
2.628,2.71E-03,-7.19E-02,7.19E-02,-3.83E-01,,
2.632,6.26E-03,-7.10E-02,7.13E-02,-3.71E-01,,
2.636,9.71E-03,-6.98E-02,7.05E-02,-3.58E-01,,
2.64,1.30E-02,-6.83E-02,6.95E-02,-3.46E-01,,
2.644,1.62E-02,-6.64E-02,6.84E-02,-3.33E-01,,
2.648,1.91E-02,-6.43E-02,6.71E-02,-3.20E-01,,
2.652,2.18E-02,-6.19E-02,6.56E-02,-3.08E-01,,
2.656,2.43E-02,-5.92E-02,6.40E-02,-2.95E-01,,
2.66,2.65E-02,-5.63E-02,6.23E-02,-2.83E-01,,
2.664,2.84E-02,-5.33E-02,6.04E-02,-2.70E-01,,
2.668,3.00E-02,-5.01E-02,5.84E-02,-2.58E-01,,
2.672,3.13E-02,-4.67E-02,5.63E-02,-2.45E-01,,
2.676,3.23E-02,-4.33E-02,5.40E-02,-2.32E-01,,
2.68,3.29E-02,-3.98E-02,5.16E-02,-2.20E-01,,
2.684,3.32E-02,-3.63E-02,4.92E-02,-2.07E-01,,
2.688,3.32E-02,-3.27E-02,4.66E-02,-1.95E-01,,
2.692,3.28E-02,-2.93E-02,4.39E-02,-1.82E-01,,
2.696,3.21E-02,-2.59E-02,4.12E-02,-1.70E-01,,
2.7,3.11E-02,-2.26E-02,3.84E-02,-1.57E-01,,
2.704,2.97E-02,-1.94E-02,3.55E-02,-1.45E-01,,
2.708,2.81E-02,-1.64E-02,3.26E-02,-1.32E-01,,
2.712,2.63E-02,-1.36E-02,2.96E-02,-1.19E-01,,
2.716,2.41E-02,-1.10E-02,2.65E-02,-1.07E-01,,
2.72,2.18E-02,-8.63E-03,2.34E-02,-9.42E-02,,
2.724,1.93E-02,-6.53E-03,2.03E-02,-8.17E-02,,
2.728,1.66E-02,-4.70E-03,1.72E-02,-6.91E-02,,
2.732,1.37E-02,-3.16E-03,1.41E-02,-5.65E-02,,
2.736,1.08E-02,-1.91E-03,1.09E-02,-4.40E-02,,
2.74,7.73E-03,-9.77E-04,7.79E-03,-3.14E-02,,
2.744,4.65E-03,-3.51E-04,4.66E-03,-1.89E-02,,
2.748,1.55E-03,-3.89E-05,1.55E-03,-6.29E-03,,
2.752,-1.54E-03,-3.87E-05,1.54E-03,-7.79E-01,,
2.756,-4.58E-03,-3.46E-04,4.59E-03,-7.67E-01,,
2.76,-7.55E-03,-9.54E-04,7.61E-03,-7.54E-01,,
2.764,-1.04E-02,-1.85E-03,1.06E-02,-7.41E-01,,
2.768,-1.31E-02,-3.03E-03,1.35E-02,-7.29E-01,,
2.772,-1.57E-02,-4.46E-03,1.63E-02,-7.16E-01,,
2.776,-1.81E-02,-6.14E-03,1.91E-02,-7.04E-01,,
2.78,-2.03E-02,-8.04E-03,2.18E-02,-6.91E-01,,
2.784,-2.23E-02,-1.01E-02,2.45E-02,-6.79E-01,,
2.788,-2.40E-02,-1.24E-02,2.70E-02,-6.66E-01,,
2.792,-2.55E-02,-1.48E-02,2.95E-02,-6.53E-01,,
2.796,-2.67E-02,-1.74E-02,3.18E-02,-6.41E-01,,
2.8,-2.76E-02,-2.00E-02,3.41E-02,-6.28E-01,,
2.804,-2.82E-02,-2.28E-02,3.63E-02,-6.16E-01,,
2.808,-2.86E-02,-2.55E-02,3.83E-02,-6.03E-01,,
2.812,-2.86E-02,-2.83E-02,4.02E-02,-5.91E-01,,
2.816,-2.84E-02,-3.10E-02,4.21E-02,-5.78E-01,,
2.82,-2.79E-02,-3.37E-02,4.37E-02,-5.65E-01,,
2.824,-2.71E-02,-3.63E-02,4.53E-02,-5.53E-01,,
2.828,-2.60E-02,-3.88E-02,4.68E-02,-5.40E-01,,
2.832,-2.47E-02,-4.12E-02,4.81E-02,-5.28E-01,,
2.836,-2.32E-02,-4.35E-02,4.93E-02,-5.15E-01,,
2.84,-2.14E-02,-4.55E-02,5.03E-02,-5.03E-01,,
2.844,-1.94E-02,-4.74E-02,5.12E-02,-4.90E-01,,
2.848,-1.73E-02,-4.90E-02,5.20E-02,-4.78E-01,,
2.852,-1.50E-02,-5.04E-02,5.26E-02,-4.65E-01,,
2.856,-1.26E-02,-5.16E-02,5.31E-02,-4.52E-01,,
2.86,-1.00E-02,-5.25E-02,5.35E-02,-4.40E-01,,
2.864,-7.40E-03,-5.32E-02,5.37E-02,-4.27E-01,,
2.868,-4.73E-03,-5.36E-02,5.38E-02,-4.15E-01,,
2.872,-2.03E-03,-5.37E-02,5.38E-02,-4.02E-01,,
2.876,6.73E-04,-5.36E-02,5.36E-02,-3.90E-01,,
2.88,3.34E-03,-5.32E-02,5.33E-02,-3.77E-01,,
2.884,5.96E-03,-5.25E-02,5.28E-02,-3.64E-01,,
2.888,8.50E-03,-5.15E-02,5.22E-02,-3.52E-01,,
2.892,1.09E-02,-5.04E-02,5.15E-02,-3.39E-01,,
2.896,1.32E-02,-4.90E-02,5.07E-02,-3.27E-01,,
2.9,1.54E-02,-4.73E-02,4.98E-02,-3.14E-01,,
2.904,1.74E-02,-4.55E-02,4.87E-02,-3.02E-01,,
2.908,1.91E-02,-4.35E-02,4.75E-02,-2.89E-01,,
2.912,2.07E-02,-4.13E-02,4.62E-02,-2.76E-01,,
2.916,2.21E-02,-3.90E-02,4.48E-02,-2.64E-01,,
2.92,2.32E-02,-3.66E-02,4.33E-02,-2.51E-01,,
2.924,2.41E-02,-3.41E-02,4.17E-02,-2.39E-01,,
2.928,2.48E-02,-3.15E-02,4.01E-02,-2.26E-01,,
2.932,2.51E-02,-2.89E-02,3.83E-02,-2.14E-01,,
2.936,2.53E-02,-2.62E-02,3.64E-02,-2.01E-01,,
2.94,2.51E-02,-2.36E-02,3.45E-02,-1.88E-01,,
2.944,2.48E-02,-2.10E-02,3.25E-02,-1.76E-01,,
2.948,2.41E-02,-1.85E-02,3.04E-02,-1.63E-01,,
2.952,2.33E-02,-1.60E-02,2.83E-02,-1.51E-01,,
2.956,2.22E-02,-1.37E-02,2.61E-02,-1.38E-01,,
2.96,2.09E-02,-1.15E-02,2.38E-02,-1.26E-01,,
2.964,1.94E-02,-9.42E-03,2.15E-02,-1.13E-01,,
2.968,1.77E-02,-7.52E-03,1.92E-02,-1.01E-01,,
2.972,1.58E-02,-5.81E-03,1.69E-02,-8.80E-02,,
2.976,1.38E-02,-4.30E-03,1.45E-02,-7.54E-02,,
2.98,1.17E-02,-3.01E-03,1.21E-02,-6.28E-02,,
2.984,9.48E-03,-1.93E-03,9.67E-03,-5.03E-02,,
2.988,7.17E-03,-1.09E-03,7.25E-03,-3.77E-02,,
2.992,4.80E-03,-4.84E-04,4.83E-03,-2.51E-02,,
2.996,2.40E-03,-1.21E-04,2.41E-03,-1.26E-02,,
3,2.22E-08,-2.58E-09,2.24E-08,-2.88E-02,,
3.004,-2.39E-03,-1.20E-04,2.39E-03,-7.73E-01,,
3.008,-4.73E-03,-4.78E-04,4.76E-03,-7.60E-01,,
3.012,-7.02E-03,-1.07E-03,7.10E-03,-7.48E-01,,
3.016,-9.22E-03,-1.88E-03,9.41E-03,-7.35E-01,,
3.02,-1.13E-02,-2.90E-03,1.17E-02,-7.23E-01,,
3.024,-1.33E-02,-4.13E-03,1.39E-02,-7.10E-01,,
3.028,-1.51E-02,-5.54E-03,1.61E-02,-6.97E-01,,
3.032,-1.67E-02,-7.12E-03,1.82E-02,-6.85E-01,,
3.036,-1.82E-02,-8.85E-03,2.02E-02,-6.72E-01,,
3.04,-1.95E-02,-1.07E-02,2.22E-02,-6.60E-01,,
3.044,-2.06E-02,-1.27E-02,2.42E-02,-6.47E-01,,
3.048,-2.14E-02,-1.48E-02,2.60E-02,-6.35E-01,,
3.052,-2.21E-02,-1.69E-02,2.78E-02,-6.22E-01,,
3.056,-2.25E-02,-1.91E-02,2.95E-02,-6.09E-01,,
3.06,-2.27E-02,-2.13E-02,3.11E-02,-5.97E-01,,
3.064,-2.26E-02,-2.35E-02,3.26E-02,-5.84E-01,,
3.068,-2.23E-02,-2.57E-02,3.40E-02,-5.72E-01,,
3.072,-2.18E-02,-2.78E-02,3.54E-02,-5.59E-01,,
3.076,-2.11E-02,-2.99E-02,3.66E-02,-5.47E-01,,
3.08,-2.02E-02,-3.18E-02,3.77E-02,-5.34E-01,,
3.084,-1.91E-02,-3.37E-02,3.88E-02,-5.22E-01,,
3.088,-1.78E-02,-3.55E-02,3.97E-02,-5.09E-01,,
3.092,-1.63E-02,-3.71E-02,4.05E-02,-4.96E-01,,
3.096,-1.47E-02,-3.85E-02,4.12E-02,-4.84E-01,,
3.1,-1.29E-02,-3.98E-02,4.18E-02,-4.71E-01,,
3.104,-1.10E-02,-4.09E-02,4.23E-02,-4.59E-01,,
3.108,-9.05E-03,-4.17E-02,4.27E-02,-4.46E-01,,
3.112,-6.99E-03,-4.24E-02,4.30E-02,-4.34E-01,,
3.116,-4.87E-03,-4.29E-02,4.32E-02,-4.21E-01,,
3.12,-2.71E-03,-4.31E-02,4.32E-02,-4.08E-01,,
3.124,-5.42E-04,-4.32E-02,4.32E-02,-3.96E-01,,
3.128,1.62E-03,-4.30E-02,4.30E-02,-3.83E-01,,
3.132,3.75E-03,-4.26E-02,4.27E-02,-3.71E-01,,
3.136,5.84E-03,-4.20E-02,4.24E-02,-3.58E-01,,
3.14,7.85E-03,-4.11E-02,4.19E-02,-3.46E-01,,
3.144,9.77E-03,-4.01E-02,4.13E-02,-3.33E-01,,
3.148,1.16E-02,-3.89E-02,4.06E-02,-3.20E-01,,
3.152,1.33E-02,-3.76E-02,3.99E-02,-3.08E-01,,
3.156,1.48E-02,-3.61E-02,3.90E-02,-2.95E-01,,
